user_id,name,email,phone,gender
U0001,  John Hunt ,ygo@NAVER.COM,010 0965 7015,Female
U0002,Jimmy Jones,seongho03@GMAIL.COM,010-0744-1318, FEMALE
U0003,Kenneth Franklin ,junyeong57@yahoo.com,010-8512-7589, FEMALE
U0004,   Eric  Ortiz ,jeongho44@GMAIL.COM,010-801-3576,Male 
U0005,   Nancy    Glass ,jeongseoyeong@YAHOO.COM,010-550-1514, female 
U0006,Bridget  Mcdaniel ,agim@gmail.com,010 3908 0724,Male 
U0007,  Mason  Valenzuela   DDS  ,ryuboram@gmail.com,010 9735 3759,M
U0008,Ryan   Murray,seohyeoni@GMAIL.COM,010 3238 1490, FEMALE
U0009,Ann Guerrero   ,hyeonjun14@naver.com,010 1454 0907,F
U0010,Terri   Holland   MD,yejinhong@YAHOO.COM,010-0745-1719,MALE
U0011,Mark Gomez,fgweon@YAHOO.COM,011-447-2897, FEMALE
U0012,Justin Smith,jeonghungim@YAHOO.COM,010-114-4467,F
U0013,   Julia    Barrett,mijeongan@YAHOO.COM,010-0036-2557,Male 
U0014, Bradley  Evans,yeongjini@gmail.com,010-1054-1074,Female
U0015,Dawn Walker   ,bagseunghyeon@naver.com,011-938-6880,F
U0016,  Renee  Jenkins   ,hyejin81@gmail.com,010.0561.2448,M
U0017,Susan  Hanna,eungyeong60@naver.com,010.0570.2638,Female
U0018, Martha Ewing,bgim@gmail.com,010 2850 7535,Female
U0019, Brandon    Lopez,seojunyun@daum.net,010-3235-5539,Female
U0020,  Lindsey   Smith   ,pi@naver.com,011-112-8154,M
U0021, Jerry    Simmons   ,igim@NAVER.COM,010-530-2747,F
U0022,Carrie   Peters   ,jinugim@gmail.com,011-864-8893,MALE
U0023, Ashley    Lowery,pryu@GMAIL.COM,010.6420.4860,M
U0024,Ricardo Atkinson,jeongsigi@yahoo.com,010-846-5264, female 
U0025,Melanie  Daniels,gimeunjeong@DAUM.NET,010.0074.3257,MALE
U0026,Jimmy    Williams   ,ucoe@naver.com,010-8440-3234,male
U0027,William    Poole,siu97@gmail.com,011-616-5092, FEMALE
U0028,Jesse Stokes   ,dgim@kakao.com,011-305-7582,M
U0029,Shawn   Anderson  ,gwangsu61@yahoo.com,010-6705-1907, FEMALE
U0030, Christopher    Reynolds,yejungim@yahoo.com,010 0558 7014, FEMALE
U0031,Nicholas   Perez,hyejini@daum.net,011-031-1692,Male 
U0032,John Ortiz   ,gimhyeonu@daum.net,010.2155.5498, FEMALE
U0033, Christine  Bonilla,vgim@daum.net,010-575-6083,Female
U0034,Tina Reid ,jihyeseo@gmail.com,010.7286.8758,Male 
U0035,Christopher   Anderson,hayunna@yahoo.com,010-5294-2675, FEMALE
U0036, Tiffany   Hancock,yeongsun70@daum.net,010 3328 3047,Female
U0037,  William Barrera,yeonggil42@NAVER.COM,010-926-8651, FEMALE
U0038,  Carol  Kane,eunjeong67@naver.com,010-0373-4010,male
U0039,   Lisa  Mitchell ,ybag@gmail.com,010-425-1272,male
U0040,Andrea  Daniels   ,myeongsug49@daum.net,010-938-9833, female 
U0041,   William   Gilbert ,lju@gmail.com,010.9645.8682,M
U0042, Wesley  Harris,jeongja66@kakao.com,010 0561 0707,MALE
U0043,Savannah  Mills   ,miyeong23@yahoo.com,010.0931.8272,Female
U0044, Krystal Rodriguez,vgo@naver.com,010-824-5551,Female
U0045,Desiree Holloway  ,hwanggyeongsu@YAHOO.COM,010-6180-7104,Male 
U0046,Maria  Kim,seonyeongeom@GMAIL.COM,010-6150-0183,F
U0047,  Rebecca    Garcia,bagseongsu@naver.com,010 1784 5985,MALE
U0048,   Sara  Kennedy  ,misug56@gmail.com,010-031-0590,MALE
